id;status_id;status_code;description;is_active
1;89858;JBOD Ergonomic Lempira;needs-based;true
2;97091;indexing Metrics;withdrawal Practical Metal Fish ubiquitous;false
3;99581;Paradigm;portals;true
4;84696;Engineer calculate Borders;scale SDD;true
5;45799;feed applications;Frozen CFA Franc BCEAO;false
6;54440;AI withdrawal payment;withdrawal Money Market Account;false
7;89802;Bedfordshire Australia;Program;true
8;3312;Dynamic Handmade Plastic Car Direct;Ways reintermediate;true
9;5777;Fantastic Quality-focused;orange info-mediaries;false
10;40042;revolutionize HTTP grow;Shoes;false
